feature_a,feature_b,abs_pearson_r,feature_a_outcome_corr_abs,feature_b_outcome_corr_abs,kept_feature,dropped_feature
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.999776613359873,0.059037131467609465,0.0586996356308452,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9245532258180265,0.14166732494396264,0.10984510048156107,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.920081981536976,0.14166732494396264,0.11041120485890402,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_Mean,0.9518599948509283,0.14166732494396264,0.1308004286471525,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_wavelet-LLL_firstorder_Mean
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_firstorder_Maximum,0.8747141155890902,0.02406432981156568,0.010181138095274442,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_firstorder_Maximum
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.8972005736984492,0.059037131467609465,0.057681377582241414,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_Mean,0.9526192738532792,0.14166732494396264,0.13074189744617606,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_original_firstorder_Mean
dwi_log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity,dwi_original_glrlm_RunLengthNonUniformity,0.9444500352720698,0.027178343702362842,0.03132376491431808,dwi_original_glrlm_RunLengthNonUniformity,dwi_log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformity
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_Contrast,0.8527418816020221,0.03776615957976779,0.01743258952951141,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_Contrast
dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.8667185920130851,0.059037131467609465,0.05354458905383343,dwi_log-sigma-2-0-mm-3D_gldm_HighGrayLevelEmphasis,dwi_wavelet-LLL_gldm_SmallDependenceHighGrayLevelEmphasis
dwi_wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-LHH_gldm_HighGrayLevelEmphasis,0.9983670308854279,0.11342977310715376,0.10463680663784815,dwi_wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-LHH_gldm_HighGrayLevelEmphasis
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_firstorder_Range,0.8983127030690599,0.02406432981156568,0.012461246354108217,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_firstorder_Range
dwi_wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.9410263773174082,0.11342977310715376,0.11021988565518227,dwi_wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-LHH_glrlm_LowGrayLevelRunEmphasis
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_JointAverage,0.9896079073145045,0.07530538065389253,0.054025719013605214,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_JointAverage
dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_SumAverage,0.9896079073145047,0.07530538065389253,0.054025719013605235,dwi_wavelet-HLH_glrlm_HighGrayLevelRunEmphasis,dwi_wavelet-HLH_glcm_SumAverage
dwi_wavelet-HLH_firstorder_Energy,dwi_log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.8256262383197234,0.083145701464147,0.06099179993423609,dwi_wavelet-HLH_firstorder_Energy,dwi_log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.9577596087840127,0.03776615957976779,0.029062872324089696,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_MeanAbsoluteDeviation
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_JointEnergy,0.9597309298857446,0.03776615957976779,0.012774054524108297,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_glcm_JointEnergy
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.9679965841754059,0.14166732494396264,0.12973320368976507,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation
ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_RootMeanSquared,0.96005874177222,0.03776615957976779,0.02870949604236269,ce_wavelet-HHL_glcm_SumEntropy,ce_wavelet-HHL_firstorder_RootMeanSquared
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.9692538531957939,0.14166732494396264,0.12768432296062118,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation
dwi_wavelet-HLH_firstorder_Energy,dwi_wavelet-LHL_firstorder_TotalEnergy,0.8820298727094895,0.083145701464147,0.047895633296244404,dwi_wavelet-HLH_firstorder_Energy,dwi_wavelet-LHL_firstorder_TotalEnergy
dwi_wavelet-HLH_firstorder_Energy,dwi_wavelet-LHL_firstorder_Energy,0.8820298726556961,0.083145701464147,0.04789563330666991,dwi_wavelet-HLH_firstorder_Energy,dwi_wavelet-LHL_firstorder_Energy
dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,dwi_wavelet-LLH_firstorder_Minimum,0.889806600038934,0.02406432981156568,0.03545886351355557,dwi_wavelet-LLH_firstorder_Minimum,dwi_wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis
dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_10Percentile,0.9172964844617802,0.14166732494396264,0.12079490568865137,dwi_log-sigma-3-0-mm-3D_firstorder_10Percentile,dwi_log-sigma-1-0-mm-3D_firstorder_10Percentile
