gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CNTNAP3,-0.146071505151515,2.46525768421053,-2.09855906966876,0.0377402940841424,0.067748626798032,-4.1701902685807
KCNA5,-0.146093771515151,3.60060978947368,-2.14524456306491,0.033743899604917,0.0617973622682435,-4.07710039976844
ITGBL1,-0.146134493636364,2.18886719548872,-3.25083926205522,0.001456694951463,0.0048020505682782,-1.33701266240421
BTLA,-0.146154760909093,3.36501270676692,-2.07041320196111,0.0403413014073254,0.0717289230941593,-4.22538827339571
SLC45A1,-0.146235335757576,3.69299080451128,-2.28806724594637,0.0237057158926382,0.0460160134971953,-3.78052301929734
GRIN2C,-0.146400656666668,4.18251501503759,-2.6172799786627,0.0098863082342078,0.0223024685028705,-3.03041645714832
LINC02225,-0.146499263636363,2.28290545864662,-3.52591996108981,0.0005789209282723,0.0024271682534366,-0.504904932126076
PID1,-0.146527845454546,3.37802776691729,-0.939169258834241,0.349340520489751,0.43402587406284,-5.84850512255692
LINC02052,-0.146528503939395,2.24574541353383,-3.56816459401219,0.0005000652349396,0.0021810619976503,-0.372163010472603
WSCD2,-0.146554263030303,3.61566387218045,-2.75073146314056,0.0067722201611821,0.016363847692866,-2.70053017384619
IFNGR1,-0.146576727272729,9.21863733834586,-1.27327706504021,0.205133106193053,0.279190126597813,-5.49250513693605
SLC3A1,-0.146607200606062,5.91022991729323,-0.339752793349758,0.734576807918344,0.788684603427938,-6.21985434559604
IL17D,-0.146629952727271,4.00014181203008,-1.18578641065091,0.237813591135893,0.31601014244675,-5.59591155459427
PENK,-0.146632927575757,3.08736656390977,-2.1190981331591,0.0359345038166527,0.0650682359898273,-4.12947110461903
SLC25A13,-0.146657796363634,8.44417238345865,-1.46301613836565,0.14581410106619,0.209993941526911,-5.24366826925082
UBR5-AS1,-0.146670584242423,5.33074421052632,-1.10240296579206,0.27227056582661,0.35368368720852,-5.68775842262503
CLVS1,-0.146673090303031,3.4029534887218,-2.89199193526369,0.0044711354834904,0.0116906207927347,-2.33550590595439
PNOC,-0.146763425454545,3.95064489473684,-0.994975731844517,0.321548656280398,0.405252741009401,-5.79639555327302
ZNF835,-0.146768725757574,3.51355384962406,-2.28907920820013,0.0236451318006125,0.045929752794262,-3.77835863076622
ZFHX4,-0.146788373030302,2.77733089473684,-2.38564257168476,0.0184541750067642,0.0374801695207803,-3.56778424272308
TMCO5A,-0.146850246363636,2.25724708270677,-3.2208437443741,0.0016056400337718,0.0051921609805841,-1.42430476258809
LINC00242,-0.146898479696969,3.17618101503759,-2.46983750864075,0.0147794454425618,0.0311513306112381,-3.37769195057388
LINC02042,-0.146930716363637,2.45884358646617,-3.11146214795366,0.0022773046274561,0.0068495568860375,-1.73676742564594
LINC02458,-0.147003115454545,2.84312511278196,-2.81359762780893,0.0056401754395546,0.0140990418243844,-2.54007502864481
GATA3-AS1,-0.147014853636363,2.75587512030075,-2.26623670367126,0.0250462336828623,0.0481555586275832,-3.8269993103784
PAIP1,-0.147053151818181,9.54979809774436,-1.32575314175189,0.187186268786632,0.258918560758104,-5.42704096191396
KMO,-0.147080132424243,4.68029732330827,-0.541946524971084,0.588759046323713,0.66260829675455,-6.13330082178267
CNGA4,-0.14709205060606,3.17610946616541,-1.89041165949672,0.0608711713656595,0.101166313289696,-4.56182214700052
